KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-armenian-al_suryah_arabic-culture-num1;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;Armeno-Mashriqi;x
dynamic-bashkir-uralic-culture-num1;Bear;Bear;Bear;Bear;Bear;Bear;Bear;Bear;Bear;Bear;Bear;Bear;Bear;x
dynamic-basque-culture-num1;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;RatMan;x
dynamic-bavarian-slovene-culture-num1;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;Carantano-Bavarian;x
dynamic-cosmopolitan_french-culture-num1;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;Franco-Norse;x
dynamic-franconian-culture-num1;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;Coburger;x
dynamic-gondi-malvi-culture-num1;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;Gond-Malvi;x
dynamic-greek-culture-num1;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;x
dynamic-irish-norse-culture-num1;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;x
dynamic-norse-russian_culture-culture-num1;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;Russenorsk;x
dynamic-sidamo-culture-num1;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;Wellegan;x
dynamic-sinhala-tamil-culture-num1;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;x
dynamic-tocharian-uyghur-culture-num1;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;x
